"StationCode","Regions","Year","Survey","SampDate","Species","VolumeOfAllTows","Catch","CPUE"
"513","Sacramento",2014,1,2014-06-04,"American Shad",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Bigscale Logperch",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Bluegill",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Catfish",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Catfish  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Centrarchids  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Delta Smelt",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Gobies",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Gobies  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Herring  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Jellyfish",2011,41,0.0203878667329687
"513","Sacramento",2014,1,2014-06-04,"Largemouth Bass",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Longfin Smelt",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Mississippi Silverside",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Northern Anchovy",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Other",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Pacific Herring",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Rainwater Killifish",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Shrimp",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Shrimp  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Splittail",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Starry Flounder",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Threadfin Shad",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Three Spine Stickleback",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Trid_SB0  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Unknown Damaged  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Unknown Fish  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Unknown Invertebrate  ()",2011,0,0
"513","Sacramento",2014,1,2014-06-04,"Wakasagi",2011,0,0
"513","Sacramento",2014,2,2014-06-16,"American Shad",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Bigscale Logperch",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Bluegill",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Catfish",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Catfish  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Centrarchids  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Delta Smelt",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Gobies",2795,30,0.0107334525939177
"513","Sacramento",2014,2,2014-06-16,"Gobies  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Herring  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Jellyfish",2795,8,0.00286225402504472
"513","Sacramento",2014,2,2014-06-16,"Largemouth Bass",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Longfin Smelt",2795,1,0.00035778175313059
"513","Sacramento",2014,2,2014-06-16,"Mississippi Silverside",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Northern Anchovy",2795,1,0.00035778175313059
"513","Sacramento",2014,2,2014-06-16,"Other",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Pacific Herring",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Rainwater Killifish",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Shrimp",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Shrimp  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Splittail",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Starry Flounder",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Threadfin Shad",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Three Spine Stickleback",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Trid_SB0  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Unknown Damaged  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Unknown Fish  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Unknown Invertebrate  ()",2795,0,0
"513","Sacramento",2014,2,2014-06-16,"Wakasagi",2795,0,0
"513","Sacramento",2014,3,2014-06-30,"American Shad",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Bigscale Logperch",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Bluegill",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Catfish",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Catfish  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Centrarchids  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Delta Smelt",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Gobies",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Gobies  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Herring  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Jellyfish",1791,34,0.0189838079285315
"513","Sacramento",2014,3,2014-06-30,"Largemouth Bass",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Longfin Smelt",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Mississippi Silverside",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Northern Anchovy",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Other",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Pacific Herring",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Rainwater Killifish",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Shrimp",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Shrimp  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Splittail",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Starry Flounder",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Threadfin Shad",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Three Spine Stickleback",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Trid_SB0  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Unknown Damaged  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Unknown Fish  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Unknown Invertebrate  ()",1791,0,0
"513","Sacramento",2014,3,2014-06-30,"Wakasagi",1791,0,0
"513","Sacramento",2014,4,2014-07-16,"American Shad",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Bigscale Logperch",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Bluegill",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Catfish",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Catfish  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Centrarchids  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Delta Smelt",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Gobies",2677,1,0.000373552484124019
"513","Sacramento",2014,4,2014-07-16,"Gobies  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Herring  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Jellyfish",2677,90,0.0336197235711617
"513","Sacramento",2014,4,2014-07-16,"Largemouth Bass",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Longfin Smelt",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Mississippi Silverside",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Northern Anchovy",2677,14,0.00522973477773627
"513","Sacramento",2014,4,2014-07-16,"Other",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Pacific Herring",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Rainwater Killifish",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Shrimp",2677,11,0.00410907732536421
"513","Sacramento",2014,4,2014-07-16,"Shrimp  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Splittail",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Starry Flounder",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Threadfin Shad",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Three Spine Stickleback",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Trid_SB0  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Unknown Damaged  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Unknown Fish  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Unknown Invertebrate  ()",2677,0,0
"513","Sacramento",2014,4,2014-07-16,"Wakasagi",2677,0,0
"513","Sacramento",2014,5,2014-07-30,"American Shad",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Bigscale Logperch",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Bluegill",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Catfish",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Catfish  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Centrarchids  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Delta Smelt",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Gobies",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Gobies  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Herring  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Jellyfish",1803,7,0.00388241819190238
"513","Sacramento",2014,5,2014-07-30,"Largemouth Bass",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Longfin Smelt",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Mississippi Silverside",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Northern Anchovy",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Other",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Pacific Herring",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Rainwater Killifish",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Shrimp",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Shrimp  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Splittail",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Starry Flounder",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Threadfin Shad",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Three Spine Stickleback",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Trid_SB0  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Unknown Damaged  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Unknown Fish  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Unknown Invertebrate  ()",1803,0,0
"513","Sacramento",2014,5,2014-07-30,"Wakasagi",1803,0,0
"513","Sacramento",2014,6,2014-08-13,"American Shad",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Bigscale Logperch",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Bluegill",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Catfish",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Catfish  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Centrarchids  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Delta Smelt",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Gobies",2687,1,0.000372162262746558
"513","Sacramento",2014,6,2014-08-13,"Gobies  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Herring  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Jellyfish",2687,160,0.0595459620394492
"513","Sacramento",2014,6,2014-08-13,"Largemouth Bass",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Longfin Smelt",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Mississippi Silverside",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Northern Anchovy",2687,13,0.00483810941570525
"513","Sacramento",2014,6,2014-08-13,"Other",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Pacific Herring",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Rainwater Killifish",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Shrimp",2687,11,0.00409378489021213
"513","Sacramento",2014,6,2014-08-13,"Shrimp  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Splittail",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Starry Flounder",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Threadfin Shad",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Three Spine Stickleback",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Trid_SB0  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Unknown Damaged  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Unknown Fish  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Unknown Invertebrate  ()",2687,0,0
"513","Sacramento",2014,6,2014-08-13,"Wakasagi",2687,0,0
"513","Sacramento",2015,1,2015-06-01,"American Shad",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Bigscale Logperch",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Bluegill",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Catfish",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Catfish  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Centrarchids  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Delta Smelt",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Gobies",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Gobies  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Herring  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Jellyfish",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Largemouth Bass",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Longfin Smelt",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Mississippi Silverside",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Northern Anchovy",3012,7,0.00232403718459495
"513","Sacramento",2015,1,2015-06-01,"Other",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Pacific Herring",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Rainwater Killifish",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Shrimp",3012,14,0.00464807436918991
"513","Sacramento",2015,1,2015-06-01,"Shrimp  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Splittail",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Starry Flounder",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Threadfin Shad",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Three Spine Stickleback",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Trid_SB0  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Unknown Damaged  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Unknown Fish  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Unknown Invertebrate  ()",3012,0,0
"513","Sacramento",2015,1,2015-06-01,"Wakasagi",3012,0,0
"513","Sacramento",2015,2,2015-06-16,"American Shad",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Bigscale Logperch",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Bluegill",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Catfish",2662,0,0
"513","Sacramento",2015,2,2015-06-16,"Catfish  ()",2662,0,0
