Station,StationCode,Date,Time,Month,Year,Chla,Pheophytin,TotAlkalinity,DissAmmonia,DissBromide,DissCalcium,DissChloride,DissNitrateNitrite,DOC,TOC,DON,DissOrthophos,TotPhos,DissSilica,TDS,TSS,VSS,TKN,Program,SpecificConductance,pH,Temperature,DO,Turbidity,DissTKN
D26 - San Joaquin River @ Potato Point,D26,1/9/2014 0:00,1,1,2014,2.1,0.78,NA,0.18,NA,17,99,0.48,3.6,3.6,0.6,0.05,0.05,19.8,305,6,1,1.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/6/2014 0:00,2,2,2014,1.38,0.78,NA,0.2,NA,20,101,0.69,4.6,4.6,0.4,0.07,0.1,19.4,325,7,1,0.8,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,3/7/2014 0:00,3,3,2014,1.16,0.97,NA,0.21,NA,17,34,0.75,6.6,6.7,0.7,0.08,0.13,20.6,200,24,2,1,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,4/8/2014 0:00,4,4,2014,5.16,1.02,NA,0.13,NA,16,23,0.51,3.9,4.6,0.4,0.07,0.09,18.7,154,5,2,0.6,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,5/8/2014 0:00,5,5,2014,1.76,0.81,NA,0.07,NA,16,47,0.52,3.6,3.6,0.4,0.08,0.11,13.2,201,3,NA,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,6/5/2014 0:00,6,6,2014,6.84,2.14,NA,0.02,NA,15,67,0.38,3.3,3.4,0.3,0.07,0.11,10.2,220,9,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,7/3/2014 0:00,7,7,2014,3.6,0.99,NA,0.06,NA,12,57,0.24,2.3,2.3,0.3,0.08,0.1,13.1,197,7,1,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,8/18/2014 0:00,8,8,2014,3.58,1.38,NA,0.06,NA,14,52,0.26,2.3,2.3,0.2,0.08,0.09,15.1,182,6,3,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,9/16/2014 0:00,9,9,2014,6.62,1.45,NA,0.03,NA,14,62,0.26,2.4,2.4,0.1,0.08,0.09,16.8,218,4,2,0.3,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,10/2/2014 0:00,10,10,2014,5.43,1.24,NA,0.07,NA,14,70,0.29,2.4,2.5,0.2,0.08,0.1,17.1,231,5,2,0.4,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,11/13/2014 0:00,11,11,2014,2.21,1.15,NA,0.11,NA,14,76,0.53,2.6,2.6,0.3,0.08,0.11,17.4,236,5,1,0.5,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,12/16/2014 0:00,12,12,2014,0.62,3.31,NA,0.17,NA,13,39,0.78,5.7,6.5,0.4,0.06,0.13,19.4,172,71,8,0.9,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,1/15/2015 0:00,13,1,2015,0.82,0.7,NA,0.15,NA,19,26,0.67,5.3,5.3,0.4,0.06,0.11,22.7,183,10,1,0.8,EMP,NA,NA,NA,NA,NA,NA
D26 - San Joaquin River @ Potato Point,D26,2/12/2015 0:00,14,2,2015,1.73,1.58,NA,0.19,NA,18,26,0.6,5.7,5.9,0.5,0.07,0.14,20.3,170,58,5,0.9,EMP,NA,NA,NA,NA,NA,NA
