"Source","SampleID","Regions","Year","Date","Station","Analy2","CPUE"
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Acartia",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Acartiella",846.44
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Barnacle Nauplii",10.12
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Bosmina",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Calanoid Other",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Calanoida",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Cladocera Other",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Daphnia",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Decapoda",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Diaphanosoma",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Diaptomus",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Eurytemora",639.88
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Harpacticoida",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Oithona",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Pseudodiaptomus",12.15
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Sinocalanus",6.06
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060","Tortanus",0
"EMP","EMP NZ060 2014-01-10","Sacramento",2014,2014-01-10,"NZ060",NA,2.02
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Acartia",3.56
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Acartiella",529.88
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Barnacle Nauplii",28.45
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Bosmina",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Calanoid Other",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Calanoida",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Cladocera Other",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Daphnia",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Decapoda",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Diaphanosoma",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Diaptomus",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Eurytemora",1386.92
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Harpacticoida",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Oithona",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Pseudodiaptomus",16.02
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Sinocalanus",5.34
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060","Tortanus",0
"EMP","EMP NZ060 2014-02-10","Sacramento",2014,2014-02-10,"NZ060",NA,1.78
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Acartia",0
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Acartiella",7.9
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Barnacle Nauplii",0
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Bosmina",15.8
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Calanoid Other",0
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Calanoida",0
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Cladocera Other",63.2
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Daphnia",4.74
"EMP","EMP NZ060 2014-03-10","Sacramento",2014,2014-03-10,"NZ060","Decapoda",0
