Station,Region,Year,Date,AvgChla,MedianChla
BLP,San Joaquin,2020,2020-04-01,1.0970833333333334,1.105
BLP,San Joaquin,2021,2021-04-01,3.5589583333333334,3.605
BLP,San Joaquin,2020,2020-04-02,1.14125,1.1749999999999998
BLP,San Joaquin,2021,2021-04-02,3.5216666666666665,3.565
BLP,San Joaquin,2020,2020-04-03,1.111505376344086,1.12
BLP,San Joaquin,2021,2021-04-03,3.3665625,3.4050000000000002
BLP,San Joaquin,2020,2020-04-04,1.3317708333333333,1.3
BLP,San Joaquin,2021,2021-04-04,3.2282291666666665,3.215
BLP,San Joaquin,2020,2020-04-05,1.3471875,1.355
BLP,San Joaquin,2021,2021-04-05,3.216875,3.2
BLP,San Joaquin,2020,2020-04-06,1.2257291666666668,1.2
BLP,San Joaquin,2021,2021-04-06,3.2196875,3.15
BLP,San Joaquin,2020,2020-04-07,1.0495833333333333,1.0150000000000001
BLP,San Joaquin,2021,2021-04-07,3.04875,3.0149999999999997
BLP,San Joaquin,2020,2020-04-08,1.0165625,1.065
BLP,San Joaquin,2021,2021-04-08,3.0633333333333335,3.01
BLP,San Joaquin,2020,2020-04-09,1.09,1.105
BLP,San Joaquin,2021,2021-04-09,2.98375,2.915
BLP,San Joaquin,2020,2020-04-10,1.0709375,1.01
BLP,San Joaquin,2021,2021-04-10,2.9280208333333335,2.935
BLP,San Joaquin,2020,2020-04-11,0.9817708333333334,0.99
BLP,San Joaquin,2021,2021-04-11,2.825,2.82
BLP,San Joaquin,2020,2020-04-12,1.0066666666666666,1.0150000000000001
BLP,San Joaquin,2021,2021-04-12,2.765625,2.8
BLP,San Joaquin,2020,2020-04-13,0.9875,0.995
BLP,San Joaquin,2021,2021-04-13,2.8129166666666667,2.855
BLP,San Joaquin,2020,2020-04-14,1.0066666666666666,0.98
BLP,San Joaquin,2021,2021-04-14,2.7217708333333333,2.77
BLP,San Joaquin,2020,2020-04-15,1.1039583333333334,1.045
BLP,San Joaquin,2021,2021-04-15,2.8667708333333333,2.795
BLP,San Joaquin,2020,2020-04-16,1.1317708333333334,1.1349999999999998
BLP,San Joaquin,2021,2021-04-16,2.6589583333333335,2.675
BLP,San Joaquin,2020,2020-04-17,1.1021875,1.12
BLP,San Joaquin,2021,2021-04-17,2.6502083333333335,2.615
BLP,San Joaquin,2020,2020-04-18,1.0555208333333332,1.05
BLP,San Joaquin,2021,2021-04-18,2.765625,2.77
BLP,San Joaquin,2020,2020-04-19,1.0122916666666666,1.0150000000000001
BLP,San Joaquin,2021,2021-04-19,2.7004166666666665,2.71
BLP,San Joaquin,2020,2020-04-20,1.0190625,1.05
BLP,San Joaquin,2021,2021-04-20,2.71,2.68
BLP,San Joaquin,2020,2020-04-21,0.9748958333333333,0.93
BLP,San Joaquin,2021,2021-04-21,2.72375,2.7649999999999997
BLP,San Joaquin,2020,2020-04-22,0.9857291666666667,0.96
BLP,San Joaquin,2021,2021-04-22,2.915,2.9050000000000002
BLP,San Joaquin,2020,2020-04-23,1.1840625,1.125
BLP,San Joaquin,2021,2021-04-23,3.184270833333333,3.145
BLP,San Joaquin,2020,2020-04-24,1.4264583333333334,1.4249999999999998
BLP,San Joaquin,2021,2021-04-24,3.0561458333333333,3
BLP,San Joaquin,2020,2020-04-25,1.4034375,1.39
BLP,San Joaquin,2021,2021-04-25,3.043645833333333,3.065
BLP,San Joaquin,2020,2020-04-26,1.3916666666666666,1.41
BLP,San Joaquin,2021,2021-04-26,2.8464583333333335,2.8
BLP,San Joaquin,2020,2020-04-27,1.4942708333333334,1.44
BLP,San Joaquin,2021,2021-04-27,2.7347916666666667,2.73
BLP,San Joaquin,2020,2020-04-28,1.5457894736842106,1.5
BLP,San Joaquin,2021,2021-04-28,2.7005208333333335,2.715
BLP,San Joaquin,2020,2020-04-29,1.5362500000000001,1.51
BLP,San Joaquin,2021,2021-04-29,2.7567708333333334,2.795
BLP,San Joaquin,2020,2020-04-30,1.7140625,1.58
BLP,San Joaquin,2021,2021-04-30,2.6969791666666665,2.745
BLP,San Joaquin,2020,2020-05-01,1.7587368421052632,1.57
BLP,San Joaquin,2021,2021-05-01,2.622916666666667,2.62
BLP,San Joaquin,2020,2020-05-02,1.6554166666666668,1.6
BLP,San Joaquin,2021,2021-05-02,2.5434375,2.57
BLP,San Joaquin,2020,2020-05-03,1.7428125,1.76
BLP,San Joaquin,2021,2021-05-03,2.5746875,2.61
BLP,San Joaquin,2020,2020-05-04,1.818125,1.835
BLP,San Joaquin,2021,2021-05-04,2.57,2.505
BLP,San Joaquin,2020,2020-05-05,1.8919791666666668,1.875
BLP,San Joaquin,2021,2021-05-05,2.5214583333333334,2.51
BLP,San Joaquin,2020,2020-05-06,1.88875,1.93
BLP,San Joaquin,2021,2021-05-06,2.524583333333333,2.54
BLP,San Joaquin,2020,2020-05-07,1.8420833333333333,1.8250000000000002
BLP,San Joaquin,2021,2021-05-07,2.493125,2.48
BLP,San Joaquin,2020,2020-05-08,1.7688541666666666,1.7850000000000001
BLP,San Joaquin,2021,2021-05-08,2.568020833333333,2.535
BLP,San Joaquin,2020,2020-05-09,1.8776041666666667,1.8849999999999998
BLP,San Joaquin,2021,2021-05-09,2.4915625,2.5199999999999996
BLP,San Joaquin,2020,2020-05-10,1.89875,1.89
BLP,San Joaquin,2021,2021-05-10,2.354375,2.375
BLP,San Joaquin,2020,2020-05-11,1.9595833333333332,1.94
BLP,San Joaquin,2021,2021-05-11,2.3140625,2.325
BLP,San Joaquin,2020,2020-05-12,1.9169791666666667,1.91
BLP,San Joaquin,2021,2021-05-12,2.261458333333333,2.275
BLP,San Joaquin,2020,2020-05-13,1.9454166666666666,1.98
BLP,San Joaquin,2021,2021-05-13,2.2836458333333334,2.29
BLP,San Joaquin,2020,2020-05-14,1.9532291666666666,1.9249999999999998
BLP,San Joaquin,2021,2021-05-14,2.3528125,2.34
BLP,San Joaquin,2020,2020-05-15,1.9959375,1.99
BLP,San Joaquin,2021,2021-05-15,2.4283333333333332,2.39
BLP,San Joaquin,2020,2020-05-16,2.0160416666666667,1.995
BLP,San Joaquin,2021,2021-05-16,2.35625,2.3049999999999997
BLP,San Joaquin,2020,2020-05-17,1.9060416666666666,1.91
BLP,San Joaquin,2021,2021-05-17,2.3311458333333333,2.24
BLP,San Joaquin,2020,2020-05-18,1.8196875,1.83
BLP,San Joaquin,2021,2021-05-18,2.2860416666666667,2.2699999999999996
BLP,San Joaquin,2020,2020-05-19,1.825625,1.76
BLP,San Joaquin,2021,2021-05-19,2.236666666666667,2.19
BLP,San Joaquin,2020,2020-05-20,1.9036458333333333,1.9049999999999998
BLP,San Joaquin,2021,2021-05-20,1.9835416666666668,1.94
BLP,San Joaquin,2020,2020-05-21,1.829375,1.815
BLP,San Joaquin,2021,2021-05-21,1.59625,1.5550000000000002
BLP,San Joaquin,2020,2020-05-22,1.8577083333333333,1.85
BLP,San Joaquin,2021,2021-05-22,1.654375,1.59
BLP,San Joaquin,2020,2020-05-23,1.9085416666666666,1.915
BLP,San Joaquin,2021,2021-05-23,1.7031578947368422,1.61
BLP,San Joaquin,2020,2020-05-24,1.9147916666666667,1.94
BLP,San Joaquin,2021,2021-05-24,1.6013541666666666,1.61
BLP,San Joaquin,2020,2020-05-25,1.9835416666666668,2.0149999999999997
BLP,San Joaquin,2021,2021-05-25,1.5739583333333333,1.585
BLP,San Joaquin,2020,2020-05-26,1.9943617021276596,1.94
BLP,San Joaquin,2021,2021-05-26,1.8028125,1.61
BLP,San Joaquin,2020,2020-05-27,2.0136458333333334,1.995
BLP,San Joaquin,2021,2021-05-27,1.6983333333333333,1.6749999999999998
BLP,San Joaquin,2020,2020-05-28,2.0352083333333333,2.03
BLP,San Joaquin,2021,2021-05-28,1.7251041666666667,1.68
BLP,San Joaquin,2020,2020-05-29,2.2719791666666667,2.28
BLP,San Joaquin,2021,2021-05-29,1.8229166666666667,1.75
BLP,San Joaquin,2020,2020-05-30,2.4072727272727272,2.42
BLP,San Joaquin,2021,2021-05-30,1.9102083333333333,1.73
BLP,San Joaquin,2021,2021-05-31,1.7573958333333333,1.7
BLP,San Joaquin,2021,2021-06-01,1.7479166666666666,1.71
BLP,San Joaquin,2021,2021-06-02,1.8001041666666666,1.74
BLP,San Joaquin,2021,2021-06-03,2.2377083333333334,1.9249999999999998
BLP,San Joaquin,2021,2021-06-04,2.0329032258064514,1.78
BLP,San Joaquin,2021,2021-06-05,1.8332291666666667,1.78
BLP,San Joaquin,2021,2021-06-06,2.3655208333333335,2.11
BLP,San Joaquin,2021,2021-06-07,3.6928125,3.1550000000000002
BLP,San Joaquin,2021,2021-06-08,3.23875,3.33
BLP,San Joaquin,2021,2021-06-09,2.8295833333333333,2.365
BLP,San Joaquin,2021,2021-06-10,3.6964516129032257,2.56
BLP,San Joaquin,2021,2021-06-11,3.1966666666666668,3.16
BLP,San Joaquin,2021,2021-06-12,5.526947368421053,4.03
BLP,San Joaquin,2021,2021-06-13,5.8542708333333335,3.855
BLP,San Joaquin,2021,2021-06-14,7.0075,4.404999999999999
BLP,San Joaquin,2021,2021-06-15,7.010416666666667,5.375
BLP,San Joaquin,2021,2021-06-16,7.756666666666667,5.484999999999999
BLP,San Joaquin,2021,2021-06-17,6.395833333333333,4.67
BLP,San Joaquin,2021,2021-06-18,5.7684375,5.26
BLP,San Joaquin,2021,2021-06-19,10.608854166666667,5.415
BLP,San Joaquin,2021,2021-06-20,9.923229166666667,4.99
BLP,San Joaquin,2021,2021-06-21,8.307708333333334,4.9350000000000005
BLP,San Joaquin,2021,2021-06-22,4.7995833333333335,1.52
BLP,San Joaquin,2021,2021-06-23,1.5783333333333334,1.54
BLP,San Joaquin,2021,2021-06-24,1.5138541666666667,1.49
BLP,San Joaquin,2020,2020-06-25,1.6852,1.645
BLP,San Joaquin,2021,2021-06-25,1.4938541666666667,1.49
BLP,San Joaquin,2020,2020-06-26,1.7151041666666667,1.71
BLP,San Joaquin,2021,2021-06-26,1.4609375,1.43
BLP,San Joaquin,2020,2020-06-27,1.7406349206349208,1.67
BLP,San Joaquin,2021,2021-06-27,1.4370833333333333,1.415
BLP,San Joaquin,2020,2020-06-28,1.7516279069767442,1.63
BLP,San Joaquin,2021,2021-06-28,1.4265625,1.42
BLP,San Joaquin,2020,2020-06-29,1.6348958333333334,1.63
BLP,San Joaquin,2021,2021-06-29,1.3798958333333333,1.395
BLP,San Joaquin,2020,2020-06-30,1.6285416666666666,1.63
BLP,San Joaquin,2021,2021-06-30,1.3526041666666666,1.37
BLP,San Joaquin,2020,2020-07-01,1.7529473684210526,1.76
BLP,San Joaquin,2021,2021-07-01,1.3451041666666668,1.355
BLP,San Joaquin,2020,2020-07-02,1.9140625,1.85
BLP,San Joaquin,2021,2021-07-02,1.3602083333333332,1.36
BLP,San Joaquin,2020,2020-07-03,1.8658333333333332,1.8849999999999998
BLP,San Joaquin,2021,2021-07-03,1.3508333333333333,1.3650000000000002
BLP,San Joaquin,2020,2020-07-04,1.8020833333333333,1.795
BLP,San Joaquin,2021,2021-07-04,1.365,1.34
BLP,San Joaquin,2020,2020-07-05,1.9961458333333333,1.93
BLP,San Joaquin,2021,2021-07-05,1.4689583333333334,1.44
BLP,San Joaquin,2020,2020-07-06,2.0625,1.975
BLP,San Joaquin,2021,2021-07-06,1.3910416666666667,1.3450000000000002
BLP,San Joaquin,2020,2020-07-07,2.069375,2.05
BLP,San Joaquin,2021,2021-07-07,1.329375,1.33
BLP,San Joaquin,2020,2020-07-08,2.1118085106382978,2.085
BLP,San Joaquin,2021,2021-07-08,1.3508333333333333,1.3250000000000002
BLP,San Joaquin,2021,2021-07-09,1.3780208333333333,1.38
BLP,San Joaquin,2021,2021-07-10,1.4092708333333333,1.4049999999999998
BLP,San Joaquin,2021,2021-07-11,1.4559375,1.42
BLP,San Joaquin,2021,2021-07-12,1.4760416666666667,1.45
BLP,San Joaquin,2021,2021-07-13,1.5451612903225806,1.52
BLP,San Joaquin,2021,2021-07-14,1.5416842105263158,1.45
BLP,San Joaquin,2021,2021-07-15,2.4202197802197802,1.4
BLP,San Joaquin,2021,2021-07-16,1.3778947368421053,1.39
BLP,San Joaquin,2021,2021-07-17,1.383125,1.36
BLP,San Joaquin,2021,2021-07-18,1.3863541666666666,1.3849999999999998
BLP,San Joaquin,2021,2021-07-19,1.396875,1.3650000000000002
BLP,San Joaquin,2021,2021-07-20,1.6573076923076924,1.36
BLP,San Joaquin,2021,2021-07-21,1.3590625,1.3250000000000002
BLP,San Joaquin,2021,2021-07-22,1.5021875,1.44
BLP,San Joaquin,2020,2020-07-23,1.1095744680851063,1.12
BLP,San Joaquin,2021,2021-07-23,1.5551041666666667,1.52
BLP,San Joaquin,2020,2020-07-24,1.12875,1.125
BLP,San Joaquin,2021,2021-07-24,1.6704166666666667,1.665
BLP,San Joaquin,2020,2020-07-25,1.1269791666666666,1.1749999999999998
BLP,San Joaquin,2021,2021-07-25,1.8264583333333333,1.835
